id_usuario;followers
1020032738; "528"
1007931685; "528"
768494498; "527"
72331241; "527"
153571117; "527"
159634482; "526"
1284054486; "524"
871791585557663745; "523"
132320071; "523"
969405200078331904; "522"
2842568519; "521"
1643976187; "521"
2961308409; "520"
16989074; "520"
533142503; "519"
2947569495; "519"
20265444; "517"
1588591592; "517"
121411777; "517"
4927951451; "516"
1287523237; "515"
918884471008571393; "513"
428472483; "513"
38232517; "513"
2916456381; "513"
758370872122023936; "511"
393008051; "511"
210601286; "511"
2612018591; "510"
1579040960; "509"
719233277656174592; "508"
846779129005555713; "507"
53793591; "507"
2580353686; "506"
98897390; "505"
80722042; "504"
77381984; "504"
576481633; "504"
437052580; "503"
23353285; "503"
956906796693774336; "502"
900649855; "501"
4734028995; "500"
1663507584; "500"
152721158; "500"
116293398; "500"
70685509; "499"
2859234214; "499"
841409064655544320; "498"
747487691487453184; "498"
24500590; "498"
3054466123; "497"
55375080; "496"
523351658; "496"
913515482879332353; "495"
2984024789; "495"
83942492; "494"
217809683; "494"
198556570; "494"
18439648; "494"
142813834; "494"
961411681372033024; "492"
63614019; "491"
3242204758; "490"
14214819; "490"
351145887; "488"
976735310; "487"
535837342; "487"
4628259436; "485"
3100145273; "485"
3251515203; "483"
58058836; "482"
62321663; "481"
4385231733; "481"
143921717; "481"
101520383; "481"
56023369; "480"
3298479712; "480"
198251670; "479"
781147237; "477"
2823480815; "477"
115460580; "475"
905579229064159232; "474"
1395818035; "474"
270345325; "473"
100020775; "472"
719325108364554240; "471"
231534678; "471"
976972802799603712; "470"
50784489; "470"
1334120874; "470"
2484097002; "469"
160698521; "469"
876519414178480130; "466"
2569286470; "466"
62585657; "465"
57157922; "464"
226427062; "464"
206358390; "463"
2857681360; "462"
714619092045590528; "460"
1935507786; "460"
1511277198; "460"
95534596; "459"
44154855; "459"
438437953; "459"
1107631196; "459"
3289878724; "458"
1228182217; "458"
167313858; "457"
907759500173697025; "456"
820422488; "456"
584107601; "456"
3333569951; "456"
3137920027; "455"
885880845394989056; "454"
304657474; "454"
2899362785; "454"
2857656065; "454"
3382547501; "453"
30858927; "453"
66807445; "452"
416444770; "452"
285744926; "451"
3043957468; "450"
1553823878; "449"
3451901441; "448"
1190639058; "445"
456195396; "444"
36468183; "444"
169510287; "444"
991845849356472320; "443"
3816864142; "443"
61505603; "442"
397435828; "442"
837002301181214733; "441"
3167827457; "440"
35028585; "439"
842892650307112960; "438"
80845442; "438"
75830467; "438"
2934327057; "438"
19029316; "438"
1143829285; "438"
286409447; "437"
21849619; "437"
40106597; "436"
975823206866210816; "435"
814102829124218880; "435"
797063746308964352; "435"
2321729259; "435"
136323339; "434"
2560956971; "433"
3398706411; "432"
2364149446; "432"
1722731784; "429"
41797746; "425"
734247654511742976; "424"
882615847109480449; "423"
787377014042943488; "423"
975669275376660480; "422"
294452832; "422"
2804606630; "420"
62144163; "419"
61742746; "418"
27626314; "418"
851568599047208960; "417"
67015421; "417"
